# lambda  	 theta 	 Rs 	 Rp 	 Ts 	 Tp
302.0 60.0 0.6708453316 0.2311813704 0.1886185657 0.4603366048
302.0 62.0 0.6882654499 0.2134832439 0.1780317351 0.4704236140
302.0 64.0 0.7062604655 0.1948510632 0.1672040248 0.4810682171
302.0 66.0 0.7248471359 0.1754884596 0.1561292311 0.4921516049
302.0 68.0 0.7440430721 0.1557373644 0.1447995284 0.5034732052
302.0 70.0 0.7638663056 0.1361508737 0.1332056170 0.5147075409
302.0 72.0 0.7843348312 0.1176073281 0.1213368929 0.5253366611
302.0 74.0 0.8054661440 0.1014917558 0.1091816351 0.5345426365
302.0 76.0 0.8272767898 0.0899896000 0.0967272013 0.5410334724
302.0 78.0 0.8497819472 0.0865715533 0.0839602256 0.5427556706
302.0 80.0 0.8729950631 0.0968107339 0.0708668099 0.5364096218
302.0 82.0 0.8969275572 0.1297900608 0.0574327019 0.5166147588
302.0 84.0 0.9215886157 0.2005766375 0.0436434527 0.4744413432
302.0 86.0 0.9469850818 0.3346429791 0.0294845498 0.3947862447
302.0 88.0 0.9731214553 0.5757962822 0.0149415197 0.2516648038
302.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
304.0 0.0 0.4101405122 0.4101405122 0.3704592601 0.3704592601
304.0 2.0 0.4104581652 0.4100601749 0.3702278414 0.3704970733
304.0 4.0 0.4114106919 0.4098173351 0.3695340902 0.3706116515
304.0 6.0 0.4129967949 0.4094065225 0.3683795225 0.3708064030
304.0 8.0 0.4152143101 0.4088186611 0.3667666681 0.3710869834
304.0 10.0 0.4180602044 0.4080411310 0.3646990736 0.3714612589
304.0 12.0 0.4215305781 0.4070578500 0.3621813051 0.3719392572
304.0 14.0 0.4256206712 0.4058493749 0.3592189458 0.3725331070
304.0 16.0 0.4303248810 0.4043930160 0.3558185893 0.3732569687
304.0 18.0 0.4356367915 0.4026629639 0.3519878214 0.3741269578
304.0 20.0 0.4415492222 0.4006304210 0.3477351910 0.3751610650
304.0 22.0 0.4480542969 0.3982637365 0.3430701648 0.3763790738
304.0 24.0 0.4551435379 0.3955285386 0.3380030632 0.3778024791
304.0 26.0 0.4628079870 0.3923878616 0.3325449769 0.3794544088
304.0 28.0 0.4710383552 0.3888022650 0.3267076604 0.3813595488
304.0 30.0 0.4798252005 0.3847299440 0.3205034039 0.3835440738
304.0 32.0 0.4891591329 0.3801268319 0.3139448828 0.3860355817
304.0 34.0 0.4990310433 0.3749466981 0.3070449863 0.3888630307
304.0 36.0 0.5094323515 0.3691412494 0.2998166285 0.3920566738
304.0 38.0 0.5203552667 0.3626602472 0.2922725448 0.3956479846
304.0 40.0 0.5317930541 0.3554516596 0.2844250778 0.3996695610
304.0 42.0 0.5437402973 0.3474618769 0.2762859598 0.4041549913
304.0 44.0 0.5561931480 0.3386360357 0.2678660944 0.4091386556
304.0 46.0 0.5691495525 0.3289185112 0.2591753475 0.4146554250
304.0 48.0 0.5826094449 0.3182536701 0.2502223498 0.4207402051
304.0 50.0 0.5965748973 0.3065870159 0.2410143198 0.4274272426
304.0 52.0 0.6110502185 0.2938669193 0.2315569116 0.4347490785
304.0 54.0 0.6260419929 0.2800472191 0.2218540921 0.4427349761
304.0 56.0 0.6415590530 0.2650911153 0.2119080526 0.4514085679
304.0 58.0 0.6576123840 0.2489769893 0.2017191574 0.4607843359
304.0 60.0 0.6742149549 0.2317071120 0.1912859308 0.4708623443
304.0 62.0 0.6913814808 0.2133207161 0.1806050836 0.4816203282
304.0 64.0 0.7091281167 0.1939137294 0.1696715785 0.4930017467
304.0 66.0 0.7274720924 0.1736687938 0.1584787317 0.5048975984
304.0 68.0 0.7464312954 0.1529013945 0.1470183484 0.5171184690
304.0 70.0 0.7660238166 0.1321316071 0.1352808863 0.5293510369
304.0 72.0 0.7862674717 0.1121973121 0.1232556422 0.5410894165
304.0 74.0 0.8071793185 0.0944358396 0.1109309550 0.5515249671
