x(m)	y(m)	Flux(W/m2)
3.93443	-2.67391	15039.8
-3.93443	-2.54348	0
-3.80328	-2.54348	0
-3.67213	-2.54348	15039.8
-3.54098	-2.54348	0
-3.40984	-2.54348	0
-3.27869	-2.54348	15039.8
-3.14754	-2.54348	30079.6
-3.01639	-2.54348	15039.8
-2.88525	-2.54348	0
-2.7541	-2.54348	15039.8
-2.62295	-2.54348	30079.6
-2.4918	-2.54348	45119.4
-2.36066	-2.54348	15039.8
-2.22951	-2.54348	30079.6
-2.09836	-2.54348	15039.8
-1.96721	-2.54348	15039.8
-1.83607	-2.54348	75199
-1.70492	-2.54348	75199
-1.57377	-2.54348	90238.7
-1.44262	-2.54348	120318
-1.31148	-2.54348	75199
-1.18033	-2.54348	180477
-1.04918	-2.54348	105279
-0.918033	-2.54348	60159.2
-0.786885	-2.54348	195517
-0.655738	-2.54348	165438
-0.52459	-2.54348	90238.7
-0.393443	-2.54348	180477
-0.262295	-2.54348	120318
-0.131148	-2.54348	195517
4.44089e-16	-2.54348	165438
0.131148	-2.54348	135358
0.262295	-2.54348	150398
0.393443	-2.54348	75199
0.52459	-2.54348	135358
0.655738	-2.54348	135358
0.786885	-2.54348	150398
0.918033	-2.54348	195517
1.04918	-2.54348	60159.2
1.18033	-2.54348	135358
1.31148	-2.54348	90238.7
1.44262	-2.54348	60159.2
1.57377	-2.54348	60159.2
1.70492	-2.54348	30079.6
1.83607	-2.54348	75199
1.96721	-2.54348	60159.2
2.09836	-2.54348	45119.4
2.22951	-2.54348	45119.4
2.36066	-2.54348	0
2.4918	-2.54348	30079.6
2.62295	-2.54348	30079.6
2.7541	-2.54348	15039.8
2.88525	-2.54348	45119.4
3.01639	-2.54348	30079.6
3.14754	-2.54348	45119.4
3.27869	-2.54348	0
3.40984	-2.54348	0
3.54098	-2.54348	0
3.67213	-2.54348	0
3.80328	-2.54348	15039.8
3.93443	-2.54348	0
-3.93443	-2.41304	0
-3.80328	-2.41304	0
-3.67213	-2.41304	0
-3.54098	-2.41304	0
-3.40984	-2.41304	15039.8
-3.27869	-2.41304	0
-3.14754	-2.41304	0
-3.01639	-2.41304	0
-2.88525	-2.41304	30079.6
-2.7541	-2.41304	15039.8
-2.62295	-2.41304	30079.6
-2.4918	-2.41304	0
-2.36066	-2.41304	30079.6
-2.22951	-2.41304	150398
-2.09836	-2.41304	45119.4
-1.96721	-2.41304	30079.6
-1.83607	-2.41304	90238.7
-1.70492	-2.41304	75199
-1.57377	-2.41304	150398
-1.44262	-2.41304	60159.2
-1.31148	-2.41304	180477
-1.18033	-2.41304	90238.7
-1.04918	-2.41304	195517
-0.918033	-2.41304	210557
-0.786885	-2.41304	360955
-0.655738	-2.41304	165438
-0.52459	-2.41304	150398
-0.393443	-2.41304	225597
-0.262295	-2.41304	195517
-0.131148	-2.41304	315836
4.44089e-16	-2.41304	180477
0.131148	-2.41304	270716
0.262295	-2.41304	225597
0.393443	-2.41304	210557
0.52459	-2.41304	210557
0.655738	-2.41304	195517
0.786885	-2.41304	240637
0.918033	-2.41304	135358
1.04918	-2.41304	135358
1.18033	-2.41304	165438
1.31148	-2.41304	120318
1.44262	-2.41304	105279
1.57377	-2.41304	60159.2
1.70492	-2.41304	15039.8
1.83607	-2.41304	60159.2
1.96721	-2.41304	15039.8
2.09836	-2.41304	60159.2
2.22951	-2.41304	90238.7
2.36066	-2.41304	60159.2
2.4918	-2.41304	0
2.62295	-2.41304	15039.8
2.7541	-2.41304	15039.8
2.88525	-2.41304	30079.6
3.01639	-2.41304	45119.4
3.14754	-2.41304	30079.6
3.27869	-2.41304	45119.4
3.40984	-2.41304	30079.6
3.54098	-2.41304	15039.8
3.67213	-2.41304	45119.4
3.80328	-2.41304	0
3.93443	-2.41304	0
-3.93443	-2.28261	0
-3.80328	-2.28261	0
-3.67213	-2.28261	0
-3.54098	-2.28261	15039.8
-3.40984	-2.28261	0
-3.27869	-2.28261	45119.4
-3.14754	-2.28261	15039.8
-3.01639	-2.28261	0
-2.88525	-2.28261	15039.8
-2.7541	-2.28261	0
-2.62295	-2.28261	60159.2
-2.4918	-2.28261	75199
-2.36066	-2.28261	15039.8
-2.22951	-2.28261	15039.8
-2.09836	-2.28261	90238.7
-1.96721	-2.28261	135358
-1.83607	-2.28261	30079.6
-1.70492	-2.28261	120318
-1.57377	-2.28261	75199
-1.44262	-2.28261	75199
-1.31148	-2.28261	150398
-1.18033	-2.28261	150398
-1.04918	-2.28261	180477
-0.918033	-2.28261	240637
-0.786885	-2.28261	210557
-0.655738	-2.28261	165438
-0.52459	-2.28261	285756
-0.393443	-2.28261	330875
-0.262295	-2.28261	360955
-0.131148	-2.28261	421114
4.44089e-16	-2.28261	436154
0.131148	-2.28261	466234
0.262295	-2.28261	360955
